#名前,職,index,タイプ,名称,系統,条件,サブ条件,条件備考,効果,サブ効果,効果備考,対象,サブ対象,対象備考,備考,武器名
,,,,,buff_self,in_enemy_area,,,adup,,,self,,,,
,,,,,heal,in_enemy_area,,,heal_cycle,,,self,,,,
チャーノ,M,227,1,修行の成果,buff_self,any,,,dsup,,,self,,,,
,,,,,combat,attack,,,combat,,,self,,,,
,,,,,buff_self,combat,,,aup,,,self,,,,
,,,,,buff_self,combat,,,delayoff,,,self,,,,
,,,2,戦場の脱兎,buff_self,after_move,,,adsup_m,,,self,,,,
,,,p,,buff_self,with_m,,,aup,,,self,,,,
,,,c,なけなしの勇気,buff_self,any,,,sup,,,self,,,,
,,,,,combat,attack,,,combat,,,self,,,,
,,,,,,,,,,,,,,,,
# レジェンドフェス5/31,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
ツル,F,318,1,絆の英雄・九領,mana,battle_start,,,mana_charge,,2個,resource,,,,
,,,,,mana,kill,,,mana_drop,,,resource,,,,
,,,,,buff_self,has_mana,boost_on_mana,戦マナ4つ以上,adup,,,self,,,,
,,,2,受け継がれし刃,buff_self,super_gauge_max,,,adscup_m,,,self,,,,
,,,,,buff_weapons,any,,,adup,,,weapon_sl,,,,
,,,,,heal,any,,,heal_cycle,,,weapon_sl,,,,
,,,p,,buff_group,any,,,adup,,,group_volcano,,,,
,,,c,第九領主,mana,battle_start,,,mana_charge,,,resource,,,,
,,,,,buff_self,any,,,adup,,,self,,,,
アンジェリカ,F,319,1,深淵の闇討ち,buff_self,kill,,,aup,,,self,,,,
,,,,,heal,kill,,,heal_self,,,self,,,,
,,,,,buff_self,any,,,rup,,,self,,,,
,,,2,微笑みの在り方,buff_self,in_move,,,invisible,,,self,,,,
,,,,,buff_self,in_invisible,,,sup,,,self,,,,
,,,,,buff_self,waiting,,,aup,,,self,,,,
,,,p,,buff_self,with_f,,,aup,,,self,,,,
,,,c,微笑む悪魔,buff_self,any,,,rup,,,self,,,,
,,,,,field,in_town,,,adup,,,self,,,,
,,,,,field,in_castle,,,adup,,,self,,,,
ウィヴェア,P,101,1,純度100%の葡萄酒,against_debuff,any,,,guard_seal,,,self,,,,
,,,,,buff_all,own_skill,,,super_gauge_gain,,,all,,,,
,,,2,熟成されたヴィンテージ,buff_self,any,,,healareaup,,,self,,,,
,,,,,buff_self,mana_charged,,,healareaup,,,self,,,,
,,,p,,buff_group,any,,,aup,,,group_forest,,,,
,,,c,友愛の葡萄酒,against_debuff,any,,,guard_seal,,,self,,,,
,,,,,buff_self,any,,,healareaup,,,self,,,,
フェブリア,M,228,1,火焔のきらめき,combat,attack,,,combat,,,self,,,,
,,,,,element,attack,,,fire,,,self,,,,
,,,,,buff_self,in_front,,2名以上,aup,,,self,,,,
,,,2,刻印と心,buff_self,mana_charged,,,aup,,,self,,,,
,,,,,counter,guard,,,reflect_arrow,fire,,enemy,,,,
,,,p,,buff_weapons,any,,,aup,,,weapon_pi,,,,
,,,c,火焔の纏い,combat,attack,,,combat,,,self,,,,
,,,,,buff_self,any,,,guard_fire,,,self,,,,
,,,,,,,,,,,,,,,,
バルドル,F,320,1,土妖精の轟体,heal,wave_start,,,heal_self,,,self,,,,
,,,,,buff_jobs,wave_start,,,dup_m,,,job_f,,,,
,,,2,北の大族長,buff_self,any,,,asup,,,self,,,,
,,,,,buff_self,any,,,maxhpup,,,self,,,,
,,,,,buff_self,hp_upto,,,adup,,,self,,,,
,,,,,buff_self,damaged,,1回ごと,adup_m,,,self,,,,
,,,p,,buff_group,any,,,adup,,,group_mountain,,,,
,,,c,大族長の魂,heal,wave_start,,,heal_self,,,self,,,,
,,,,,buff_self,hp_upto,,,aup,,,self,,,,
ミズギタリ,A,171,1,世界根源風鳴奏華,buff_self,shoot,,,aup,,,self,,,,
,,,,,add_debuff,attack,,,slow,,,enemy,,,,
,,,,,buff_self,enemys_debuff,,スロウ,aup,,,self,,,,
,,,,,for_debuff,for_slow,,,aup,,,self,,,,
,,,2,深淵滅覇・司,mana,battle_start,,,mana_charge,mana_all,,resource,,,,
,,,,,buff_self,own_skill,,,ascup_m,,,self,,,,
,,,,,add_debuff,skill,,,defdown,,,enemy,,,,
,,,c,司属世界,buff_jobs,any,,,aup,,,job_a,,,,
,,,,,,,,,,,,,,,,
# ツインエンジェルコラボ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
水無月遥,F,321,1,レッドエンジェル参上！,mana,battle_start,,,mana_charge,mana_fa,,resource,,,,
,,,,,buff_self,mana_droped,mana_fa,,asup_m,,,self,,,,
,,,,,heal,mana_droped,mana_fa,,heal_cycle,,,self,,,,
,,,2,しましまパンツ集め,buff_self,any,,,asup,,,self,,,,
,,,,,buff_self,in_enemy_area,,,acrup,,,self,,,,
,,,p,,buff_self,with_ar,,,adup,,,self,,,,
,,,c,スポーツ万能,buff_self,any,,,asrup,,,self,,,,
神無月葵,A,172,1,ブルーエンジェル参上！,buff_self,shoot,,,aup,,,self,,,,
,,,,,pierce,kill,,,pierce,,,enemy,,,,
,,,,,buff_self,in_rear,,2名以上,ascup,,,self,,,,
,,,2,激辛チャレンジ,mana,wave_start,,,mana_boost,,,resource,,,,
,,,,,buff_all,mana_charged,,,adup,,,all,,,,
,,,p,,buff_self,with_f,,,adup,,,self,,,,
,,,c,お嬢様,buff_self,shoot,,,aup,,,self,,,,
,,,,,buff_self,any,,,cup,,,self,,,,
葉月クルミ,A,173,1,ホワイトエンジェル参上！,heal,wave_start,,,heal_all,,,all,,,,
,,,,,buff_self,hp_upto,,50%と100%の二段階,adup,,,self,,,,
,,,2,機械いじり,buff_jobs,with_fa,include_self,3名以上,ascup,,,job_fa,,,,
,,,,,mana,wave_start,,,slot_slow,,,resource,,,,
,,,p,,buff_self,with_f,,,adup,,,self,,,,
,,,c,ツンデレ,heal,wave_start,,,heal_all,,,all,,,,
天月めぐる,F,322,1,ブレイクシステム,buff_self,same_abilities,,,adsup,,,self,,,,
,,,2,正義の味方,buff_self,boss_wave,,,scup,,,self,,,,
,,,p,,buff_self,with_sl,,,aup,,,self,,,,
,,,c,お世話好き,buff_self,boss_wave,,,adup,,,self,,,,
如月すみれ,F,323,1,ブレイクシステム,buff_self,same_abilities,,,adsup,,,self,,,,
,,,2,クール＆ビューティー,buff_self,in_combo,,,aup_m,,,self,,,,
,,,p,,buff_self,with_bl,,,aup,,,self,,,,
,,,c,大食い,buff_self,any,,,rup,,,self,,,,
,,,,,,,,,,,,,,,,
# 4章・セレステ編,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
ロスカァ,P,102,1,技術者の知恵,buff_self,any,,,healareaup,,,self,,,,
,,,,,buff_self,any,,,areashift,,,self,,,,
,,,,,mana,in_chain,,2Chain,mana_drop,,3回まで,resource,,,,
,,,2,メンテナンス,heal,wave_start,,,heal_one,,,nearest,,,,
,,,,,buff_one,wave_start,,,barrier,,,nearest,,,,
,,,p,,buff_group,any,,,dup,,,group_forest,,,,
,,,c,ロスカァの術式メモ,buff_self,any,,,healup,,,self,,,,
,,,,,heal,wave_start,,,heal_one,,,hp_worst,,,,
,,,w,傀儡の付与力,buff_one,wave_start,,,dup_m,,,nearest,,,,黄果の枝・術式「傀儡」
,,,,,buff_all,wave_start,,,asup_m,,,all,boost_for_union,精霊島,,
ベルダッド,K,174,1,迎撃システム,buff_self,in_front,,2名以上,adsup,,,self,,,,
,,,,,buff_self,damaged,,2回ごと,adup_m,,,self,,,,
,,,,,,,,,,,,,,,,
# 大狩猟戦「聖王国編」,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
リディア,F,324,1,華麗な腕前,buff_self,any,,,dsup,,,self,,,,
,,,,,buff_self,in_head,,,asrup,,,self,,,,
,,,2,戦士ギルドの有名人？,buff_self,kill,,,cup_m,,,self,,,,
,,,,,buff_self,boss_wave,,,acup,,,self,,,,
,,,p,,buff_weapons,any,,,aup,,,weapon_bl,,,,
,,,c,宣伝活動,buff_self,any,,,aup,,,self,,,,
,,,,,buff_self,boss_wave,,,aup,,,self,,,,
エレクシィ,K,175,1,聖剣騎士団旗手,buff_self,any,,,aup,,,self,,,,
,,,,,buff_self,in_enemy_area,,,adup,,,self,,,,
,,,2,聖騎士団の威光,buff_jobs,any,,,scup,,,job_k,,,,
,,,,,buff_one,wave_start,,,scrup_m,,,nearest,,,,
,,,p,,buff_weapons,any,,,aup,,,weapon_pi,,,,
,,,c,威風堂々,buff_self,any,,,scup,,,self,,,,
ロベルタ,K,176,1,大ベテランの余裕,buff_self,hp_upto,,,asup,,,self,,,,
,,,,,buff_self,own_skill,boost_with_enemys,,adup_m,,,self,,,,
,,,2,世話焼き姉御,heal,wave_start,,,heal_self,,,self,,,,
,,,,,buff_all,boss_wave,,,aup,,,all,,,,
,,,p,,buff_self,with_guildtown,,,aup,,,self,,,,
,,,c,諦めない精神,buff_self,hp_upto,,,aup,,,self,,,,
,,,,,heal,wave_start,,,heal_self,,,self,,,,
,,,,,,,,,,,,,,,,
# アニメBD特典,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
アラム,F,325,1,義勇軍の新たな希望,buff_self,in_front,with_p,,adup,,,self,,,,
,,,,,counter,defend,,,counterattack,,,enemy,,,,
,,,2,折れない心,buff_self,in_attacking,,,asup_m,,,self,,,,
,,,,,mana,in_chain,,Chainが増えるほど確率上昇,mana_drop,,,resource,,,,
,,,p,,buff_group,any,,,aup,,,group_volunteers,,,,
,,,c,闇を裂く刃,buff_self,any,,,asup,,,self,,,,
,,,,,killer,vs_black,,,aup,,,self,,,,
ケマミレ,F,326,1,アラムと共に,mana,wave_start,,,mana_boost,,,resource,,,,
,,,,,buff_self,hp_upto,,,adup,,,self,,,,
,,,,,,,,,,,,,,,,
# ギルティギアコラボ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
ソル＝バッドガイ,F,327,1,ギアを狩る者,buff_self,in_enemy_area,,,crup,,,self,,,,
,,,,,buff_self,in_attacking,,,asup_m,,,self,,,,
,,,2,プロトタイプギア,heal,any,,,heal_cycle,,,self,,,,
,,,,,invincible,dropout_self,,,invincible,,,self,,,,
,,,,,heal,dropout_self,,,heal_self,,,self,,,,
,,,p,,buff_self,with_f,,,aup,,,self,,,,
,,,c,ギア細胞,buff_self,any,,,aup,,,self,,,,
,,,,,heal,any,,,heal_cycle,,,self,,,,
カイ＝キスク,K,177,1,迅雷,against_debuff,any,,,guard_slow,,,self,,,,
,,,,,buff_self,any,,,guardup,,,self,,,,
,,,2,守るべきもの,buff_self,in_front,,1名以上,adup,,,self,,,,
,,,,,buff_self,in_front,,2名以上,asup,,,self,,,,
,,,,,heal,in_front,,2名以上,heal_cycle,,,self,,,,
,,,p,,buff_group,any,,,dup,,,group_others,,,,
,,,c,王の人望,against_debuff,any,,,guard_slow,,,self,,,,
,,,,,buff_self,any,,,asup,,,self,,,,
エルフェルト＝ヴァレンタイン,A,174,1,恋の弾丸,buff_self,shoot,,,aup,,,self,,,,
,,,,,pierce,kill,,,pierce,,,enemy,,,,
,,,,,buff_self,mana_droped,mana_a,,acup_m,,,self,,,,
,,,2,女子力全開,mana,wave_start,,,mana_boost,,,resource,,,,
,,,,,heal,any_skill,,,heal_all,,,all,,,,
,,,,,buff_all,any_skill,,,dsup_m,,,all,,,,
,,,p,,buff_group,any,,,aup,,,group_others,,,,
,,,c,女子力爆発,mana,wave_start,,,mana_boost,,,resource,,,,
,,,,,buff_self,any,,,cup,,,self,,,,
ディズィー,M,229,1,ネクロとウンディーネ,buff_self,shoot,,,aup,,,self,,,,
,,,,,counter,guard,,,reflect_arrow,,,enemy,,,,
,,,,,mana,kill,skill,,mana_drop,,,resource,,,,
,,,2,木陰の君,heal,wave_start,,,heal_all,,,all,,,,
,,,,,buff_all,wave_start,,,acup_m,,,all,,,,
,,,p,,buff_self,with_sl,,,aup,,,self,,,,
,,,c,慈愛の心,buff_self,shoot,,,aup,,,self,,,,
,,,,,heal,wave_start,,,heal_all,,,all,,,,
シン＝キスク,F,328,1,天真爛漫,buff_self,hp_upto,,,adup,,,self,,,,
,,,,,buff_self,any,,,rup,,,self,,,,
,,,2,みなぎる食欲,heal,wave_start,,,heal_self,,,self,,,,
,,,c,純粋な心,resource,battle_end,,,expup,,,resource,,,,
梅喧,F,329,1,修羅の道,buff_self,damaged,,2回ごと,adup_m,,,self,,,,
,,,,,buff_self,dropout_member,,,aup_m,,,self,,,,
,,,2,亜坐身,counter,defend,,,counterattack,,,enemy,,,,
,,,c,復讐の刃,buff_self,dropout_member,,,aup_m,,,self,,,,
蔵土縁紗夢,F,330,1,理念の証明,buff_self,after_move,,,asup_m,,,self,,,,
,,,2,達人の拳法,buff_self,any,,,cup,,,self,,,,
,,,,,add_debuff,critical,,,tumble,,,enemy,,,,
,,,c,料理人の魂,resource,battle_end,,,goldup,,,resource,,,,
ジャック・オー,F,331,1,アメの摂取,buff_self,has_mana,mana_f,,adsup,,,self,,,,
,,,2,特殊な人工生命体,mana,wave_start,,,slot_slow,,,resource,,,,
,,,,,buff_all,in_sub,,,adup,,,all,,,,
,,,c,記憶の欠片,buff_all,in_sub,,,adup,,,all,,,,
,,,,,,,,,,,,,,,,
# レジェンドフェス6/30,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
ミーム,F,332,1,万里の防壁,buff_self,hp_upto,,,adup,,,self,,,,
,,,,,heal,wave_start,,,heal_self,,,self,,,,
,,,,,buff_self,wave_start,,,dup,,,self,,,,
,,,2,思い出の復興,field,in_town,,,adsup,,,all,,,,
,,,,,field,in_town,,,adsup,,,self,,,,
,,,p,,buff_self,with_guildtown,,,aup,,,self,,,,
,,,c,復興士の意地,buff_self,hp_upto,,,dup,,,self,,,,
,,,,,heal,wave_start,,,heal_self,,,self,,,,
テレサ,K,178,1,絆の英雄・剣聖,mana,battle_start,,,mana_charge,compressed_mana_k,,resource,,,,
,,,,,buff_self,kill,,,aup,,,self,,,,
,,,,,heal,kill,,,heal_self,,,self,,,,
,,,,,mana,kill,boost_on_sp_attack,,mana_drop,,,resource,,,,
,,,2,リリスの騎士,buff_self,any,boost_on_hp_upto,,adsup,,,self,,,,
,,,,,buff_self,with_p,,,acrup,,,self,,,,
,,,,,buff_self,super_gauge_max,,,crup,,,self,,,,
,,,,,buff_self,super_gauge_max,,,delayoff,,,self,,,,
,,,p,,buff_group,any,,,adsup,,,group_holytown,,,,
,,,c,殺人衝動の覚醒,mana,battle_start,,,mana_charge,,,resource,,,,
,,,,,killer,vs_human,,,aup,,,self,,,,
アリエッタ,P,103,1,お花をどうぞっ,buff_self,any,,,healareaup,,,self,,,,
,,,,,heal,wave_start,,,heal_one,,2回,hp_worst,,,,
,,,2,ユフルの花,buff_all,in_sub,,,adup,,,all,,,,
,,,,,heal,in_sub,,,heal_cycle,,,hp_worst,,,,
,,,p,,buff_group,any,,,adup,,,group_holytown,,,,
,,,c,花の司祭,heal,wave_start,,,heal_one,,,hp_worst,,,,
,,,,,buff_self,any,,,healup,,,self,,,,
クラウス,M,230,1,凍てつく魔力,buff_self,staying,,,aup,,,self,,,,
,,,,,element,attack,,,ice,,,self,,,,
,,,,,add_debuff,attack,,,freeze,,,enemy,,,,
,,,2,貫く言霊,buff_self,has_mana,mana_m,,aup,,,self,,,,
,,,,,buff_self,any,,,cup,,,self,,,,
,,,p,,buff_weapons,any,,,aup,,,weapon_ma,,,,
,,,c,魔法兵団の隊長,buff_self,any,,,acup,,,self,,,,
,,,,,,,,,,,,,,,,
# 魔神ザルブリス戦,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
ファガル,K,179,1,支え続ける者,buff_self,hp_upto,,,adsup,,,self,,,,
,,,,,buff_self,hp_full,,,dup,,,self,,,,
,,,2,傷跡の残光,heal,any,,,heal_cycle,,,self,,,,
,,,,,buff_self,in_enemy_area,,,dup,,,self,,,,
,,,,,heal,in_enemy_area,,,heal_cycle,,,self,,,,
,,,p,,buff_self,with_a,,,aup,,,self,,,,
,,,c,傷跡の祝福,heal,any,,,heal_cycle,,,self,,,,
,,,,,buff_self,any,,,dup,,,self,,,,
レインリット,A,175,1,追い続ける者,buff_self,hp_upto,,,ascup,,,self,,,,
,,,,,buff_self,hp_full,,,cup,,,self,,,,
,,,2,傷跡の残響,heal,any,,,heal_cycle,,,self,,,,
,,,,,add_debuff,attack,,,slow,,,enemy,,,,
,,,,,for_debuff,for_slow,,,aup,,,self,,,,
,,,p,,buff_self,with_k,,,aup,,,self,,,,
,,,c,傷跡の疼き,heal,any,,,heal_cycle,,,self,,,,
,,,,,buff_self,any,,,cup,,,self,,,,
ザルブリス,P,104,1,共に生きる者,buff_self,any,,,healareaup,,回復範囲変化,self,,,,
,,,,,buff_self,in_chain,,,mana_cost_down,,2Chainで-1,self,,,,
,,,2,神の子,heal,any,,,heal_cycle,,,self,,,,
,,,,,heal,wave_start,,,heal_all,,,all,,,,
,,,,,cure_debuff,wave_start,,,cure_blind,,,all,,,,
,,,,,cure_debuff,wave_start,,,cure_slow,,,all,,,,
,,,p,,buff_group,any,,,dup,,,group_demon,,,,
,,,c,治癒の光,heal,any,,,heal_cycle,,,self,,,,
,,,,,heal,wave_start,,,heal_all,,,all,,,,
,,,,,,,,,,,,,,,,
# 4周年記念イベント,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
シルヴァ,F,333,1,戦士ギルド長の指揮,buff_self,with_guildtown,,,adsup,,,self,,,,
,,,,,buff_weapons,any,,,crup,,,weapon_slblpipu,,,,
,,,2,歴戦の戦士,mana,battle_start,,,mana_charge,,2個,resource,,,,
,,,,,buff_self,in_enemy_area,,,acup,,,self,,,,
,,,p,,buff_group,any,,,adup,,,group_guildtown,,,,
,,,c,歴戦の戦士ギルド長,buff_self,any,,,acup,,,self,,,,
イヌチヨ,F,334,1,傾奇座長,buff_self,wave_start,,,aup,,,self,,,,
,,,,,buff_jobs,with_f,include_self,2名以上,adup,,,job_f,,,,
,,,2,天下の傾奇者,counter,defend,,,counterattack,,,enemy,,,,
,,,,,invincible,dropout_self,,,invincible,,,self,,,,
,,,,,heal,dropout_self,,,heal_self,,,self,,,,
,,,,,buff_self,dropout_self,,,adsup_m,,,self,,,,
,,,,,resource,battle_end,,,expup,,,resource,,,,
,,,p,,buff_self,with_f,,,aup,,,self,,,,
,,,c,傾奇者,resource,battle_end,,,expup,,,resource,,,,
シェダ,A,176,1,職人の研鑽,buff_self,shoot,,,aup,,,self,,,,
,,,,,buff_self,in_combo,,,aup_m,,,self,,,,
,,,2,土妖精の狙撃手,heal,wave_start,,,heal_self,,,self,,,,
,,,,,buff_all,wave_start,,,scup_m,,,all,,,,
,,,,,buff_jobs,wave_start,,,barrier,,スロウ防止,job_f,,,,
,,,p,,buff_group,any,,,aup,,,group_mountain,,,,
,,,c,職人の研鑽,buff_self,shoot,,,aup,,,self,,,,
,,,,,,,,,,,,,,,,
ヒザルビン,F,335,1,世界根源煌溟水華,add_debuff,attack,,,poison,,,enemy,,,,
,,,,,add_debuff,attack,,,freeze,,,enemy,,,,
,,,,,for_debuff,for_poison,,,aup,,,self,,,,
,,,,,for_debuff,for_freeze,,,aup,,,self,,,,
,,,,,heal,wave_start,,,heal_all,,,all,,,,
,,,,,buff_all,wave_start,,,barrier,,毒/衰弱/凍結防止,all,,,,
,,,2,深淵滅覇・溟,mana,battle_start,,,mana_charge,mana_all,,resource,,,,
,,,,,buff_self,any,,,adsup,,,self,,,,
,,,,,buff_self,hp_upto,,,adscrup,,,self,,,,
,,,,,element,attack,,,ice,,,self,,,,
,,,,,add_debuff,attack,,,weak_element,ice,,enemy,,,,
,,,c,溟属世界,buff_jobs,any,,,dup,,,job_f,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
# レジェンドフェス7/31,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
ヨシノ,F,336,1,桜花剣術,mana,battle_start,,,mana_charge,,,resource,,,,
,,,,,mana,wave_span,,4・6WAVE,mana_drop,mana_f,,resource,,,,
,,,,,buff_self,mana_charged,,,aup,,,self,,,,
,,,2,鬼桜一閃,buff_self,any,,,cup,,,self,,,,
,,,,,add_debuff,critical,,,slow,,,enemy,,,,
,,,,,add_debuff,critical,,,down,,,enemy,,,,
,,,,,for_debuff,for_slow,,,adup,,,self,,,,
,,,,,for_debuff,for_down,,,adup,,,self,,,,
,,,p,,buff_self,with_f,,,aup,,,self,,,,
,,,c,桜花一閃,mana,battle_start,,,mana_charge,,,resource,,,,
,,,,,add_debuff,critical,,,slow,,,enemy,,,,
,,,,,add_debuff,critical,,,down,,,enemy,,,,
アレス,K,180,1,大正義の騎士,mana,wave_start,,,mana_boost,,,resource,,,,
,,,,,mana,kill,boost_on_skill,,mana_drop,,,resource,,,,
,,,,,buff_self,mana_droped,mana_k,,adup_m,,,self,,,,
,,,2,団長の大原則,buff_self,in_front,,2名以上,adup,,,self,,,,
,,,,,buff_jobs,any,,,adsup,,,job_k,,,,
,,,p,,buff_weapons,any,,,aup,,,weapon_sl,,,,
,,,c,貫く正義,buff_self,any,,,aup,,,self,,,,
,,,,,mana,wave_start,,,mana_boost,,,resource,,,,
リリス,P,105,1,絆の英雄・聖女,mana,battle_start,,,mana_charge,mana_kp,2個,resource,,,,
,,,,,mana,wave_start,,,composite,mana_kp,,resource,,,,
,,,,,mana,wave_start,,,mana_boost,,,resource,,,,
,,,,,mana,wave_start,,,slot_slow,,,resource,,,,
,,,2,テレサの聖女,buff_self,any,,<<斬>>がいると効果上昇,dsup,,,self,,,,
,,,,,buff_self,any,,<<斬>>がいると効果上昇,healareaup,,,self,,,,
,,,,,buff_self,any,,<<斬>>がいると効果上昇,healspeedup,,,self,,,,
,,,,,buff_area,heal_action,,,super_gauge_gain,,,heal_area_member,,,,
,,,,,buff_area,heal_action,,,aup,,,heal_area_member,,,,
,,,,,buff_jobs,wave_start,,,adscrup_m,,,job_k,nearest,,,
,,,p,,buff_group,any,,,adsup,,,group_holytown,,,,
,,,c,祈りの聖女,mana,battle_start,,,mana_charge,,,resource,,,,
,,,,,buff_self,any,,,healareaup,,,self,,,,
カティア,M,231,1,叡智の剣,combat,attack,,,combat,,,self,,,,
,,,,,buff_self,combat,,,delayoff,,,self,,,,
,,,,,buff_self,in_front,,2名以上,adup,,,self,,,,
,,,,,buff_self,in_rear,,3名以上,asup,,,self,,,,
,,,2,魔法兵団師団長兼教育実習生,buff_jobs,any,,,adsup,,,job_m,,,,
,,,,,buff_self,with_m,,2名以上,aup,,,self,,,,
,,,,,heal,attack,,,absorb,,,self,,,,
,,,p,,buff_group,any,,,aup,,,group_academy,,,,
,,,c,魔法戦術教育,combat,attack,,,combat,,,self,,,,
,,,,,buff_self,combat,,,aup,,,self,,,,
,,,,,heal,attack,,,absorb,,,self,,,,
,,,,,,,,,,,,,,,,
# 4章・アマツ編,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
オボロ,F,337,1,忍の剛体術,buff_self,any,,,adsup,,,self,,,,
,,,,,buff_self,in_enemy_area,,,adup,,,self,,,,
,,,,,buff_self,in_move,,,invisible,,,self,,,,
,,,2,戦忍術・紫影陣,add_debuff,attack,boost_on_critical,,poison,,,enemy,,,,
,,,,,add_debuff,add_poison,,,atkdefdown,,,enemy,,,,
,,,,,buff_self,any,,,poison_atkup,,,self,,,,
,,,,,for_debuff,for_poison,,,aup,,,self,,,,
,,,,,for_debuff,for_slow,,,aup,,,self,,,,
,,,p,,buff_self,with_volcano,,,arup,,,self,,,,
,,,,,buff_one,with_volcano,,,arup,,,buddy,,,,
,,,c,紫影閃,for_debuff,for_poison,,,aup,,,self,,,,
カゲロウ,F,338,1,影と主,buff_self,in_combo,,,adsup_m,,,self,,,,
,,,,,invincible,dropout_self,,,invincible,,,self,,,,
,,,,,heal,dropout_self,,,heal_self,,,self,,,,
,,,,,buff_self,dropout_self,,,dup_m,,,self,,,,
,,,,,buff_self,in_move,,,invisible,,,self,,,,
,,,,,,,,,,,,,,,,
# なのはコラボ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
高町なのは,M,232,1,AAAクラスの魔力量,buff_self,shoot,,,aup,,,self,,,,
,,,,,pierce,shoot,,,pierce,,,enemy,,,,
,,,,,mana,wave_start,,,mana_boost,,,resource,,,,
,,,,,buff_self,in_rear,,,ascup,,,self,,,,
,,,2,全力全開,buff_all,boss_wave,,,aup,,,all,,,,
,,,,,buff_self,super_gauge_max,,,adscrup_m,,,self,,,,
,,,p,,buff_self,with_sl,,,adup,,,self,,,,
,,,c,魔力収束,buff_self,boss_wave,,,aup,,,self,,,,
フェイト・Ｔ・ハラオウン,M,233,1,ソニックフォーム,against_debuff,any,,,guard_slow,,,self,,,,
,,,,,combat,attack,,,combat,,,self,,,,
,,,,,buff_self,combat,,,aup,,,self,,,,
,,,,,buff_self,combat,,,delayoff,,,self,,,,
,,,,,buff_self,after_move,,,ascup_m,,,self,,,,
,,,2,友達思い,buff_self,in_front,,,adcup,,,self,,,,
,,,,,mana,kill,,,mana_drop,,,resource,,,,
,,,p,,buff_self,with_m,,,adup,,,self,,,,
,,,c,前衛戦闘型魔導師,against_debuff,any,,,guard_slow,,,self,,,,
,,,,,buff_self,any,,,cup,,,self,,,,
八神はやて,M,234,1,八神家当主,against_debuff,any,,,guard_seal,,,self,,,,
,,,,,buff_self,with_m,,,adsup,,,self,,,,
,,,,,buff_all,own_skill,,,super_gauge_gain,,,all,,,,
,,,2,蒐集行使,mana,wave_span,,2WAVEごとに2回,mana_drop,,,resource,,,,
,,,,,buff_self,mana_droped,mana_m,,adup_m,,,self,,,,
,,,,,buff_all,mana_droped,mana_m,,adcup_m,,,all,,,,
,,,p,,buff_group,any,,,aup,,,group_others,,,,
,,,c,料理上手,heal,wave_start,,,heal_self,,,self,,,,
高町なのは,M,235,1,砲撃特化,buff_self,hp_upto,,,crup,,,self,,,,
,,,,,buff_self,mana_charged,,,aup,,,self,,,,
,,,,,skillup,mana_lost,,,skill_atkup,,,self,,,,
,,,2,優しい正義,buff_self,wave_start,,,barrier,,暗闇防止,self,,,,
,,,,,heal,wave_start,,,heal_one,,,hp_worst,,,,
,,,p,,buff_self,with_m,,,aup,,,self,,,,
,,,c,単体戦闘の心得,buff_self,hp_upto,,,aup,,,self,,,,
キリエ・フローリアン,F,339,1,フォーミュラスーツ,buff_self,in_enemy_area,,,ascup,,,self,,,,
,,,2,夢を描いた妹,buff_self,has_mana,mana_fm,,asup,,,self,,,,
,,,,,buff_self,wave_start,,,barrier,,,self,,,,
,,,c,故郷を救う意志,buff_self,any,,,cup,,,self,,,,
アミティエ・フローリアン,A,177,1,フォーミュラドライブ,against_debuff,any,,,guard_blind,,,self,,,,
,,,,,buff_self,in_combo,,,asup_m,,,self,,,,
,,,2,よくできた姉,buff_self,wave_start,,,aup_m,,,self,,,,
,,,,,buff_jobs,wave_start,,,aup_m,,,job_m,atk_best,,,
,,,c,故郷を救う心,against_debuff,any,,,guard_blind,,,self,,,,
イリス,M,236,1,導き手の加護,buff_all,mana_slot_many,,,asup,,,all,,,,
,,,2,不思議な少女,buff_all,in_sub,,,acup,,,all,,,,
,,,,,resource,battle_end,,,expup,,,resource,,,,
,,,c,計画者,buff_all,in_sub,,,aup,,,all,,,,
,,,,,,,,,,,,,,,,
# 私をバカンスに連れてって,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
アルドラ,F,340,1,大魔導師の休日,buff_self,any,,,asup,,,self,,,,
,,,,,buff_jobs,with_fa,include_self,3名以上,adup,,,job_fa,,,,
,,,2,清夏の海のお姉さん,mana,wave_start,,,mana_boost,,,resource,,,,
,,,,,buff_self,mana_droped,mana_f,,drup_m,,,self,,,,
,,,p,,buff_self,with_a,,,aup,,,self,,,,
