#名前,職,index,キャラタイプ,リンクコード,称号,レア度,コスト,絆コスト,武器属性,入手先・分類,入手先,声優,イラストレーター,所属,職業,最大ATK,最大HP,限界ATK,限界HP,Wiki名
リリルカ・アーデ,A,135,collaboration,,サポーター,4,15,3,Ar,collaboration,danmachi,内田 真礼,ダンまち製作委員会,others,Supporter,5500,3500,7300,5300,
ヤマト・命,A,136,collaboration,,絶影,4,15,3,Ar,collaboration,danmachi,赤崎 千夏,ダンまち製作委員会,others,Adventurer,5300,4700,7100,6500,
,,,,,,,,,,,,,,,,,,,,
アイズ・ヴァレンシュタイン,K,139,collaboration,,剣姫,5,20,4,Sl,event,score,大西 沙織,ダンまち製作委員会,others,MasterFencer,5100,5400,9300,9800,
,,,,,,,,,,,,,,,,,,,,
ヤシュム,M,180,first,,砂海の星見,5,19,4,Ma,random,ring,井上 麻里奈,碧風羽,oasis,Diviner,7550,3550,9550,5550,
グラシア,A,137,first,,強き森の射手,5,19,4,Ar,random,ring,皆口 裕子,chibi,forest,Archer,7200,3500,9200,5500,
,,,,,,,,,,,,,,,,,,,,
# 3周年記念フェス,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
リヴェラ,F,252,first,,年代記の剣士,5,20,4,Sl,event,festival,水樹 奈々,toi8,chronicle,MasterFencer,7500,7500,9500,9500,
,,,,,,,,,,,,,,,,,,,,
ロボピッチャ,F,253,collaboration,,小さな巨人,4,12,3,Bl,collaboration,hardgirls,ももの はるな,KEI,others,Great hitter,4700,4600,6500,6400,
メガドライブ２,M,181,collaboration,,生意気盛り,4,12,3,Ma,collaboration,hardgirls,山岡 ゆり,KEI,others,ApprenticeMagician,5200,3200,7000,5000,
,,,,,,,,,,,,,,,,,,,,
# 三賢者と超賢者,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
メルティオール,M,182,first,,力の賢者,5,20,4,Ma,event,festival,石田 彰,HACCAN,academy,MasterSage,8000,5200,10000,7200,
ディルマ,M,183,first,,生命の賢者,5,20,4,Ma,event,festival,内田 真礼,HACCAN,academy,MasterSage,7550,5000,9550,7000,
トリスメギストス,M,184,first,,至高の超賢者,5,24,4,Pu,event,score,三上 枝織,PALOW,academy,MasterSage,6000,4100,9400,8100,
,,,,,,,,,,,,,,,,,,,,
ジュリア,K,140,first,,巨人の許嫁,5,19,4,Sl,random,ring,野川 さくら,芳住和之,guildtown,Bride,7000,7300,9000,9300,
,,,,,,,,,,,,,,,,,,,,
黒騎士,K,141,first,,深淵の闇,5,19,4,Sl,collaboration,haecceitas,石田 彰,チェンクロ・フィルムパートナーズ/工藤昌史,demon,DarkKnight,7300,7300,9300,9300,
ユリアナ,K,142,first,,導きの聖王女,5,19,4,Sl,collaboration,haecceitas,小岩井 ことり,チェンクロ・フィルムパートナーズ/工藤昌史,holytown,Princess,7000,7600,9000,9600,
ファティマ,M,185,first,,運命の魔女,5,19,4,Ma,collaboration,haecceitas,佐藤 美由希,チェンクロ・フィルムパートナーズ/山本碧,academy,MasterSage,7500,3600,9500,5600,
,,,,,,,,,,,,,,,,,,,,
SC-3000,F,254,collaboration,,薙刀の撫子,4,12,3,Sl,collaboration,hardgirls,相沢 舞,KEI,others,NaginataFencer,5200,5000,7000,6800,
ジェネシス,A,138,collaboration,,ハイテンションカウガール,4,12,3,Gu,collaboration,hardgirls,田野 アサミ,KEI,others,CowGirl,5100,3100,6900,4900,
スケルトンセガサターン,M,186,collaboration,,薄衣の魔女,4,12,3,Ma,collaboration,hardgirls,高橋 未奈美,KEI,others,Magician,5050,3150,6850,4950,
,,,,,,,,,,,,,,,,,,,,
# 魔神ザロビ戦,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ベルヴィード,K,143,first,,聖騎士団長“聖血の宿将”,5,20,4,Sl,event,festival,銀河 万丈,風間雷太,holytown,Paladin,7500,8000,9500,10000,
シンフォニア,K,144,first,,絢爛豪華の聖騎士,5,20,4,Sl,event,festival,佐倉 綾音,武城にしき,holytown,Paladin,7400,7800,9400,9800,
ザロビ,M,187,demon,,危地の魔神,5,22,4,Ma,event,demon,小林 ゆう,文太,demon,Demon,6000,3400,9400,6200,
,,,,,,,,,,,,,,,,,,,,
# サクラ大戦コラボ（前半）,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
大神一郎,F,255,collaboration,,帝国華撃団・花組隊長,5,20,4,Sl,collaboration,sakurawar,陶山 章央,松原秀典,others,Commander,5350,5350,9150,9150,
真宮寺さくら,F,256,collaboration,,帝国華撃団・花組,5,20,4,Sl,collaboration,sakurawar,横山 智佐,松原秀典,others,Actress,7800,7100,9800,9100,
レニ・ミルヒシュトラーセ,K,145,collaboration,,帝国華撃団・花組,5,20,4,Pi,collaboration,sakurawar,伊倉 一恵,サクラ大戦,others,Actress,7450,7800,9450,9800,
マリア・タチバナ,A,139,collaboration,,帝国華撃団・花組,5,20,4,Gu,collaboration,sakurawar,高乃 麗,サクラ大戦,others,Actress,7700,3950,9700,5950,
ソレッタ・織姫,M,188,collaboration,,帝国華撃団・花組,5,20,4,Ma,collaboration,sakurawar,岡本 麻弥,サクラ大戦,others,Actress,7650,4580,9650,6580,
,,,,,,,,,,,,,,,,,,,,
神崎すみれ,F,257,collaboration,,帝国華撃団・花組,4,15,3,Sl,collaboration,sakurawar,富沢 美智恵,サクラ大戦,others,Actress,5800,5700,7600,7500,
桐島カンナ,F,258,collaboration,,帝国華撃団・花組,4,15,3,Pu,collaboration,sakurawar,田中 真弓,サクラ大戦,others,Actress,5900,5500,7700,7300,
李紅蘭,A,140,collaboration,,帝国華撃団・花組,4,15,3,Sh,collaboration,sakurawar,渕崎 ゆり子,サクラ大戦,others,Actress,5600,3700,7400,5500,
アイリス,P,76,collaboration,,帝国華撃団・花組,4,15,3,He,collaboration,sakurawar,西原 久美子,サクラ大戦,others,Actress,5200,4600,7000,6400,
,,,,,,,,,,,,,,,,,,,,
ユーフィス,P,77,first,,水呼びの舞人,5,19,4,He,random,ring,寺崎 裕香,hakus,oasis,Priest,7300,4700,9300,6700,
,,,,,,,,,,,,,,,,,,,,
# 犬鼻族長フェス,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ガジジナ,F,259,first,,ケ者の総代,5,20,4,Pu,event,festival,大坪 由佳,村山竜大,beasts,Matriarch,7350,7550,9350,9550,
ギザザヤ,F,260,first,,犬鼻族の誇り高き戦士,5,20,4,Pu,event,festival,稲田 徹,伊藤未生,beasts,Grappler,8000,7350,10000,9350,
,,,,,,,,,,,,,,,,,,,,
エンヴィ,A,141,first,,うら若き迷子,5,18,4,Ar,other,quest,佐倉 綾音,秋津たいら,guildtown,Merchant,5000,3000,7000,5000,
,,,,,,,,,,,,,,,,,,,,
# 蠢動する悪意,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
アメリー,F,261,first,,看守長“鍵の乙女”,5,20,4,Pi,cross,criminal,大坪 由佳,Nidy-2D-,criminal,Warden,7450,7450,9450,9450,
キサ,A,142,first,,暗殺者の少女,5,20,4,Sh,cross,criminal,皆口 裕子,Nidy-2D-,criminal,Killer,7700,3500,9700,5500,
ザエル,F,262,first,,愚痴の獄主,5,24,4,Pu,event,score,畠中 祐,タイキ,criminal,Criminal,5500,5000,12000,9500,
,,,,,,,,,,,,,,,,,,,,
# サクラ大戦コラボ（後半）,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
神崎すみれ,F,263,collaboration,,帝国華撃団・花組,5,20,4,Sl,collaboration,sakurawar,富沢 美智恵,サクラ大戦,others,Actress,7400,7300,9400,9300,
桐島カンナ,F,264,collaboration,,帝国華撃団・花組,5,20,4,Pu,collaboration,sakurawar,田中 真弓,サクラ大戦,others,Actress,7000,7000,9000,9000,
李紅蘭,A,143,collaboration,,帝国華撃団・花組,5,20,4,Sh,collaboration,sakurawar,渕崎 ゆり子,サクラ大戦,others,Actress,7500,4000,9500,6000,
アイリス,P,78,collaboration,,帝国華撃団・花組,5,20,4,He,collaboration,sakurawar,西原 久美子,サクラ大戦,others,Actress,7750,5400,9750,7400,
,,,,,,,,,,,,,,,,,,,,
真宮寺さくら,F,265,collaboration,,帝国華撃団・花組,4,15,3,Sl,collaboration,sakurawar,横山 智佐,松原秀典,others,Actress,6000,5300,7800,7100,
レニ・ミルヒシュトラーセ,K,146,collaboration,,帝国華撃団・花組,4,15,3,Pi,collaboration,sakurawar,伊倉 一恵,サクラ大戦,others,Actress,5400,6300,7200,8100,
マリア・タチバナ,A,144,collaboration,,帝国華撃団・花組,4,15,3,Gu,collaboration,sakurawar,高乃 麗,サクラ大戦,others,Actress,5750,3450,7550,5250,
ソレッタ・織姫,M,189,collaboration,,帝国華撃団・花組,4,15,3,Ma,collaboration,sakurawar,岡本 麻弥,サクラ大戦,others,Actress,5500,4000,7300,5800,
,,,,,,,,,,,,,,,,,,,,
キャメロウ,K,147,first,,駱駝の使い,5,19,4,Sl,random,ring,柳田 淳一,BISAI,oasis,Knight,7100,7700,9100,9700,
,,,,,,,,,,,,,,,,,,,,
# 太鼓の達人コラボ2,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
どんちゃん,F,266,collaboration,,太鼓の達人,5,14,4,Bl,collaboration,taiko,ならはし みき,太鼓の達人,others,Wadaiko,6000,5000,8000,7000,
,,,,,,,,,,,,,,,,,,,,
# 深淵の渦,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ゼファル,F,267,demon,,運命流転ノ天魔,5,40,8,Pi,event,whirlpool,佐久間 レイ,武城にしき,demon,unknown,10000,10000,20000,20000,
バグリス,K,148,demon,,万物呑天ノ天魔,5,40,8,Pu,event,whirlpool,中田 譲治,かわすみ,demon,unknown,9500,11000,19500,21000,
,,,,,,,,,,,,,,,,,,,,
# 2部僧侶フェス,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ジークルーン,P,79,first,,鉄煙の姫,5,20,4,He,event,festival,佐久間 レイ,煎茶,machine,Princess,8000,4150,10000,6150,
,,,,,,,,,,,,,,,,,,,,
# 魔神トゥキファト戦,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
バラクーダ,F,268,first,,大海原の走り屋,5,20,4,Pi,event,festival,村川 梨衣,タカナシカナ,forest,Fighter,7600,7600,9600,9600,
ルーラ,F,269,first,,燦燦たる豹紋蛸の使い,5,20,4,Sl,event,festival,緑川 光,武城にしき,forest,Fighter,7800,7100,9800,9100,
トゥキファト,K,149,demon,,秩序の魔神,5,24,4,Sl,event,demon,伊瀬 茉莉也,武城にしき,demon,Demon,5800,6200,9500,11500,
,,,,,,,,,,,,,,,,,,,,
ラブラ,F,270,first,,東南東の族長,5,19,4,Bl,random,ring,種田 梨沙,ＭＩＮＡＴＯ,mountain,Matriarch,7100,7350,9100,9350,
,,,,,,,,,,,,,,,,,,,,
# まどマギコラボ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
アルティメットまどか,M,190,collaboration,,,5,20,4,Ar,collaboration,magica,悠木 碧,ジャコシバ,others,Ultimate,7500,5200,9500,7200,
悪魔ほむら,M,191,collaboration,,,5,20,4,Ma,collaboration,magica,斎藤 千和,ジャコシバ,others,Demon,8000,4700,10000,6700,
巴マミ,M,192,collaboration,,魔法少女,5,20,4,Sh,collaboration,magica,水橋 かおり,ジャコシバ,others,Magical Girl,7400,4600,9400,6600,
,,,,,,,,,,,,,,,,,,,,
佐倉杏子,F,271,collaboration,,魔法少女,4,15,3,Pi,collaboration,magica,野中 藍,ジャコシバ,others,Magical Girl,5900,5500,7700,7300,
美樹さやか,K,150,collaboration,,魔法少女,4,15,3,Sl,collaboration,magica,喜多村 英梨,ジャコシバ,others,Magical Girl,5500,6550,7300,8350,
百江なぎさ,P,80,collaboration,,魔法少女,4,15,3,He,collaboration,magica,阿澄 佳奈,ジャコシバ,others,Magical Girl,5300,3800,7100,5600,
暁美ほむら,M,193,collaboration,,魔法少女,4,8,3,Gu,collaboration,magica,斎藤 千和,ジャコシバ,others,Magical Girl,5200,3200,7000,5000,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
# 第3部・リリース時,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ヘリオス,F,272,third,,王都の勇者,5,18,4,Sl,third,quest,内山 昂輝,toi8,guildtown,Hero,7000,7000,9000,9000,
エシャル,F,273,third,,砂漠に咲く薔薇,5,18,4,Pu,third,oasis3,大橋 彩香,竜徹,oasis,Dancer,7220,6820,9220,8820,
アマツ,F,274,third,,荒れ燃ゆる憤怒,5,18,4,Sl,third,volcano3,中村 悠一,黒葉.K,volcano,Samurai,6960,7160,8960,9160,
マウリッツ,K,173,third,,昼行灯の串刺し公,5,18,4,Pi,third,guildtown3,畠中 祐,天野英,guildtown,Merchant,7000,7100,9000,9100,
ベルナデット,F,276,first,,恋募るお嬢様,5,20,4,Bl,event,other,内田 真礼,mamuru,guildtown,Berserker,6800,6800,,,
イオ,F,277,first,,約束の二刀,5,20,4,Sl,random,coin,石田 彰,moc,guildtown,SwordsMan,6000,6000,9000,9000,
セレステ,K,151,third,,空色の自動人形,5,18,4,Pi,third,forest3,川澄 綾子,ひと和,forest,Automaton,7350,7550,9350,9550,
イスマイル,A,145,third,,竜の眷属,5,18,4,Ar,third,oasis3,緑川 光,伊藤未生,oasis,Guardian,6900,4700,8900,6700,
ヌヴィエム,A,146,third,,千河の朧雲,5,18,4,Ar,third,forest3,今井 麻美,丘,forest,Archer,7240,3640,9240,5640,
アリーチェ,M,194,third,,戦の刻印者,5,18,4,Pi,third,academy3,高木 友梨香,煎茶,academy,Student,6940,5540,8940,7540,
ウガガラ,M,195,third,K164,水鳴きの蒼猫,5,18,4,Ma,third,guildtown3,内田 彩,クレタ,guildtown,Shaman,6900,3900,8900,5900,水鳴きの蒼猫ウガガラ＆プアア
リゲル,M,196,third,,三ツ星教授,5,18,4,Ma,third,academy3,花澤 香菜,うろこ,academy,Professor,7050,3850,9050,5850,
ドウマ,M,197,third,,災厄の呪術使い,5,18,4,Ma,third,volcano3,子安 武人,黒葉.K,volcano,Magician,7060,4000,9060,6000,
,,,,,,,,,,,,,,,,,,,,
ネリー,F,278,third,,建設ギルド副長,4,15,3,Bl,third,guildtown3,花澤 香菜,ricci,guildtown,Smith,5700,5700,7500,7500,
ハーフィズ,F,279,third,,盗賊あがりの劇団員,4,15,3,Sl,third,oasis3,柳田 淳一,チェロキー,oasis,Actor,5640,5740,7440,7540,
ユキノジョウ,F,280,third,,千両女形,4,15,3,Sl,third,volcano3,福山 潤,卵の黄身,volcano,Actor,5860,5420,7660,7220,
イッシキ,F,281,third,,二領の妖刀鍛冶,4,15,3,Sl,third,volcano3,諏訪部 順一,沙汰,volcano,Smith,5800,5500,7600,7300,
ケマイエス,K,152,third,,たった一人の管弦楽団,4,15,3,Pi,third,oasis3,中村 悠一,lack,oasis,Orchestra,5500,6500,7300,8300,
クーシャン,K,153,third,,碧空の片翼,4,15,3,Sl,third,forest3,村川 梨衣,ひと和,forest,Guardian,5600,6200,7400,8000,
シェロム,A,147,third,,希望へ射る種矢,4,15,3,Ar,third,guildtown3,川澄 綾子,オギノ,guildtown,Merchant,5500,3100,7300,4900,
ウワイジュ,A,148,third,,砂嘴の一番銛,4,15,3,Ar,third,oasis3,内山 昂輝,クレタ,oasis,Archer,5650,3000,7450,4800,
レサーカ,A,149,third,,千河のジガバチ,4,15,3,Ar,third,forest3,菊池 幸利,KAZTO FURUYA,forest,Archer,5720,2950,7520,4750,
アリエル,P,81,third,,天使の歌声,4,15,3,He,third,guildtown3,内田 彩,HACCAN,guildtown,Chorus,5200,4000,7000,5800,
リューリィ,P,82,third,,癒したがりの包帯娘,4,15,3,He,third,academy3,立花 理香,hakus,academy,Student,5270,3970,7070,5770,
シーシャン,P,83,third,,瑠璃空の片翼,4,15,3,He,third,forest3,大坪 由佳,ひと和,forest,Healer,5300,4050,7100,5850,
ミロスラフ,M,198,third,,灼喉の潜熱,4,15,3,Sl,third,academy3,八代 拓,伊藤明十,academy,Smith,5440,4740,7240,6540,
トビアス,M,199,third,,四角四面の編入生,4,15,3,Ma,third,academy3,緑川 光,碧風羽,academy,Student,5750,3250,7550,5050,
コドロ,M,200,third,,浦波の朝風,4,15,3,Ma,third,volcano3,今井 麻美,ＭＩＮＡＴＯ,volcano,Chaptain,5980,2980,7780,4780,
,,,,,,,,,,,,,,,,,,,,
ヘリオス,F,282,third,,王都の少年,3,5,2,Sl,third,quest,内山 昂輝,toi8,guildtown,Boy,4000,4000,,,
エシャル,F,283,third,,「砂の薔薇」踊り子,3,5,2,Pu,third,quest,大橋 彩香,竜徹,oasis,Dancer,4200,3700,,,
アマツ,F,284,third,,角無しの鬼剣士,3,5,2,Sl,third,quest,中村 悠一,黒葉.K,volcano,Samurai,4080,3920,,,
セレステ,K,154,third,,精霊島の異端者,3,5,2,Pi,third,quest,川澄 綾子,ひと和,forest,Automaton,4400,4500,,,
クーシャン,K,155,third,,鷲獅子の使い,3,5,2,Sl,third,quest,村川 梨衣,ひと和,forest,Guardian,4440,4480,,,
シャディア,A,150,third,,「砂の薔薇」歌姫,3,5,2,Ar,third,quest,沢城 みゆき,文太,oasis,Diva,4220,2320,,,
トロメア,P,84,third,,王都の少女,3,5,2,He,third,quest,三森 すずこ,toi8,guildtown,Girl,4100,3000,,,
デルフィーナ,P,85,third,,落ちこぼれの魔法学園生徒,3,5,2,He,third,quest,早瀬 莉花,煎茶,academy,Student,4050,3050,,,
シーシャン,P,86,third,,鷲獅子の使い,3,5,2,He,third,quest,大坪 由佳,ひと和,forest,Healer,4120,2980,,,
アリーチェ,M,201,third,,夢見る魔法学園生徒,3,5,2,Pi,third,quest,高木 友梨香,煎茶,academy,Student,4050,3500,,,
ベルタ,M,202,third,,瞳に刻印を持つ少女,3,5,2,Ma,third,quest,せき しほ,煎茶,academy,Student,3900,2400,,,
カーリン,M,203,third,,獣の刻印を持つ少女,3,5,2,Pu,third,quest,石飛 恵里花,煎茶,academy,Student,4140,3740,,,
ヒトリ,M,204,third,,うかつな火鬼,3,5,2,Pu,third,quest,遠藤 綾,村山竜大,volcano,Hioni,4050,2550,,,
,,,,,,,,,,,,,,,,,,,,
スカラデン,F,285,third,,まどろみの灯台守,3,10,2,Pi,third,pub,中村 悠一,クレタ,guildtown,Watchman,4300,4500,5900,6100,
シドビビ,F,286,third,,大狼を目指す小犬児,3,10,2,Pu,third,pub,伊瀬 茉莉也,天野英,guildtown,Grappler,4700,3900,6300,5500,
ゼルマ,F,287,third,,依願依頼の集積所,3,10,2,Bl,third,pub,森下 由樹子,秋津たいら,mountain,Merchant,4600,4300,6200,5900,
ガンドル,F,288,third,,豪武具職人,3,10,2,Bl,third,pub,菊池 幸利,平将,mountain,Smith,4850,4200,6450,5800,
サナム,F,289,third,,熱砂の骨漁り,3,10,2,Bl,third,pub,福山 潤,KAZTO FURUYA,oasis,Archaeologist,4800,4500,6400,6100,
テンペスタ,F,290,third,,千河の美食家,3,10,2,Pi,third,pub,緑川 光,チェロキー,forest,Hunter,4800,4000,6400,5600,
ツバキ,F,291,third,,白き処刑人,3,10,2,Sl,third,pub,村川 梨衣,weila,volcano,Executioners,4800,4400,6400,6000,
シュカ,F,292,third,,最速の運び屋,3,10,2,Sl,third,pub,大坪 由佳,ricci,volcano,Transporter,4650,4580,6250,6180,
エミリアン,K,156,third,,“典麗たる銀花”騎士団,3,10,2,Sl,third,pub,菊池 幸利,伊藤明十,holytown,Knight,4600,5300,6200,6900,
ナウラ,K,157,third,,財宝の守人,3,10,2,Sl,third,pub,森下 由樹子,うろこ,oasis,Guard,4650,5100,6250,6700,
ジーメオン,A,151,third,,鉄煙轟く新技術,3,10,2,Gu,third,pub,諏訪部 順一,伊藤明十,guildtown,Smith,4850,2400,6450,4000,
ラーナ,A,152,third,,矢毒蛙の使い,3,10,2,Ar,third,pub,大坪 由佳,クロサワテツ,forest,Archer,4680,2500,6280,4100,
オリュミーナ,A,153,third,,放蕩蝶々,3,10,2,Ar,third,pub,伊瀬 茉莉也,コダマユウヤ,forest,Archer,4650,2600,6250,4200,
オヅミ,A,154,third,,穿ち貫く紅牡丹,3,10,2,Ar,third,pub,内田 彩,秋津たいら,volcano,Archer,4700,2700,6300,4300,
マナワ,A,155,third,,旅する不運な薄紅,3,10,2,Ar,third,pub,立花 理香,秋津たいら,volcano,Archer,4600,2800,6200,4400,
ジェンター,P,87,third,,腕利きの町医者,3,10,2,Sl,third,pub,今井 麻美,沙汰,guildtown,Doctor,4800,3600,6400,5200,
バルーフ,P,88,third,,奇跡の大盤振る舞い,3,10,2,He,third,pub,遠藤 綾,チェロキー,holytown,Priest,4600,3450,6200,5050,
タウィーラ,P,89,third,,砂漠の薬学史,3,10,2,He,third,pub,村川 梨衣,チェロキー,oasis,Healer,4250,3400,5850,5000,
メーリア,P,90,third,,花屋の樹人,3,10,2,He,third,pub,花澤 香菜,24,forest,Healer,4500,3100,6100,4700,
フランジア,M,205,third,,魔法の香水使い,3,10,2,Ma,third,pub,立花 理香,24,academy,Professor,4300,2700,5900,4300,
ミリー,M,206,third,,全力魔術士,3,10,2,Ma,third,pub,今井 麻美,weila,academy,Student,4700,3000,6300,4600,
エステバン,M,207,third,,魔境を彷徨う巡礼者,3,10,2,Ma,third,pub,八代 拓,COGA,academy,Magician,4500,2600,6100,4200,
イフサーン,M,208,third,,大砂漠の給水塔,3,10,2,Ma,third,pub,内山 昂輝,COGA,oasis,Merchant,4500,3000,6100,4600,
,,,,,,,,,,,,,,,,,,,,
# ストーリー追加12/8,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ミユキ,F,293,third,,六花の化身,5,18,4,Sl,third,volcano3,立花 理香,かわすみ,volcano,Shinobi,7050,6950,9050,8950,
シャディア,A,156,third,,万砂一紅の艶姫,5,18,4,Ar,third,oasis3,沢城 みゆき,文太,oasis,Diva,7000,3000,9000,5000,
,,,,,,,,,,,,,,,,,,,,
# ストーリー追加12/15・クリスマス,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ユニカ,K,158,third,,純潔の一角騎士,5,18,4,Pi,third,forest3,大坪 由佳,七和禮,forest,Guardian,7440,7640,9440,9640,
ベルタ,M,209,third,,知の刻印者,5,18,4,Ma,third,academy3,せき しほ,煎茶,academy,Student,6500,3500,8500,5500,
アベータ,P,91,third,,聖夜を彩る樹人,4,10,3,He,event,other,高木 友梨香,富岡二郎（RED FS）,guildtown,Healer,5200,3600,7000,5400,
,,,,,,,,,,,,,,,,,,,,
# 魔神スフラトゥス戦,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
イヴェルタ,K,159,first,,思い出を追う者,5,20,4,Sl,event,festival,水瀬 いのり,HACCAN,others,Soldier,6050,6150,10050,10150,
スフラトゥス,M,210,demon,,埃の魔神,5,24,4,Ma,event,demon,小岩井 ことり,HACCAN,demon,Demon,8500,6000,10500,8000,
,,,,,,,,,,,,,,,,,,,,
# 2017年正月,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ヨシカゲ,F,294,first,,燃える二領の戦鬼,5,20,4,Sl,event,festival,福山 潤,萩谷薫,volcano,MasterFencer,7850,7550,9850,9550,
アシュリナ,F,295,first,,湖都の女王,5,20,4,Sl,random,ring,佐倉 綾音,白亜右月,oasis,Queen,7000,7000,9000,9000,
カイン,K,160,first,,赤誠の雄,5,20,4,Sl,event,legend,内田 真礼,竜徹,guildtown,Guardian,8000,8100,10000,10100,
ペローラ,K,161,first,,純真無垢なる白真珠,5,20,4,Pi,event,legend,伊藤 静,タカナシカナ,forest,Guardian,7900,7940,9900,9940,
ミシディア,A,157,first,,正鵠の射手,5,20,4,Ar,event,legend,内田 真礼,moc,oasis,Archer,8080,4040,10080,6040,
エレミア,M,211,first,,平々凡々なるメイド,5,20,4,Ma,event,legend,小岩井 ことり,ilumine works,academy,Servant,7400,4130,9400,6130,
モニカ,M,212,third,,目覚まし少女,4,12,3,Ma,event,other,水瀬 いのり,あっきー人,academy,Student,5000,3000,6800,4800,
,,,,,,,,,,,,,,,,,,,,
# アニメ連動,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
フィーナ,P,92,first,,年代記を持つ少女,4,12,3,He,collaboration,haecceitas,佐倉 綾音,チェンクロ・フィルムパートナーズ/工藤昌史,volunteers,Chronicler,5200,3500,7000,5300,
,,,,,,,,,,,,,,,,,,,,
# ストーリー追加1/12,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
エメライン,K,162,third,M214,赤銅の小さな翼,5,18,4,Sl,third,guildtown3,村川 梨衣,武城にしき,guildtown,Fighter,7500,7700,9500,9700,赤銅の小さな翼エメライン＆フラット
,,,,,,,,,,,,,,,,,,,,
# アニメ連動・2回目,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
アラム,F,296,first,,白き閃光を瞳に宿す少年,4,12,3,Sl,collaboration,haecceitas,山下 大輝,チェンクロ・フィルムパートナーズ/工藤昌史,others,Fighter,5500,5000,7300,6800,
,,,,,,,,,,,,,,,,,,,,
# ペルソナ5コラボ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ジョーカー,F,297,collaboration,,怪盗団リーダー,5,20,4,Sl,collaboration,persona5,福山 潤,副島成記/アトラス,others,Trickster,7800,7200,9800,9200,
クイーン,K,163,collaboration,,怪盗団の作戦参謀,5,20,4,Pu,collaboration,persona5,佐藤 利奈,副島成記/アトラス,others,The High Priestess,6900,7700,8900,9700,
パンサー,A,158,collaboration,,怪盗団の演技派（？）女優,5,20,4,Gu,collaboration,persona5,水樹 奈々,副島成記/アトラス,others,The Lovers,7600,3800,9600,5800,
,,,,,,,,,,,,,,,,,,,,
スカル,F,298,collaboration,,怪盗団の切り込み隊長,4,15,3,Bl,collaboration,persona5,宮野 真守,副島成記/アトラス,others,The Chariot,5800,5700,7600,7500,
フォックス,F,299,collaboration,,怪盗団の芸術家,4,15,3,Sl,collaboration,persona5,杉田 智和,副島成記/アトラス,others,The Emperor,6000,5500,7800,7300,
ノワール,A,159,collaboration,,怪盗団の御令嬢,4,15,3,Sh,collaboration,persona5,戸松 遥,副島成記/アトラス,others,The Empress,6000,3600,7800,5400,
モナ,P,93,collaboration,,怪盗団の先導役,4,15,3,Sl,collaboration,persona5,大谷 育江,副島成記/アトラス,others,The Magician,5250,4400,7050,6200,
ナビ,P,94,collaboration,,怪盗団の天才ハッカー,4,15,3,He,collaboration,persona5,悠木 碧,副島成記/アトラス,others,The Hermit,5300,3700,7100,5500,
,,,,,,,,,,,,,,,,,,,,
# ストーリー追加1/26,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ヒトリ,M,213,third,,忘れられた陽炎の民,5,18,4,Pu,third,volcano3,遠藤 綾,村山竜大,volcano,Hioni,6900,4200,8900,6200,
,,,,,,,,,,,,,,,,,,,,
# バディ対応,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
プアア,K,164,buddy,M195,（ウガガラのバディ）,5,0,0,Sl,third,guildtown3,内田 彩,クレタ,guildtown,Buddy,2300,7500,4500,10000,水鳴きの蒼猫ウガガラ＆プアア
フラット,M,214,buddy,K162,（エメラインのバディ）,5,0,0,Sl,third,guildtown3,村川 梨衣,武城にしき,guildtown,Buddy,7600,4200,9680,5400,赤銅の小さな翼エメライン＆フラット
