#名前,職,index,称号,レア度,コスト,絆コスト,武器属性,入手先・分類,入手先,声優,イラストレーター,所属,職業,最大ATK,最大HP,限界ATK,限界HP,（入力補助用・名前）,スキル名,アビリティ1・名前,アビリティ2・名前,武器アビリティ・名前,絆アビリティ名
ライア,F,84,孤高の波,5,19,4,Pi,second,forest_sea,伊藤 静,泉彩,forest_sea,Fighter,7300,7100,9300,9100,ライア,ラ・リュミエール,独りの遊撃隊,ふたりでひとつ,,レイの刺毒
,,,,,,,,,,,,,,,,,,,,,,,
ペイシェ,F,85,海駆ける少女,4,14,3,Pu,second,forest_sea,花澤 香菜,富岡二郎（RED FS）,forest_sea,Grappler,5600,5100,7400,6900,ペイシェ,セイレーネスインパクト,大海の祝福,義勇軍の航海士,,大海の守護
オルデル,K,53,山渡りの巡回者,4,14,3,Bl,second,forest_sea,中村 悠一,heike,forest_sea,Guardian,5150,5950,7000,7750,オルデル,ヘビーバッシュ,山の重圧,巡回者のお守り,,巡礼者のお守り
アレグリア,A,39,神木の弓者,4,14,3,Ar,second,forest_sea,佐倉 綾音,兎鷺,forest_sea,Archer,5700,3760,7500,5560,アレグリア,セイクリッドレイン,神木の戒め,森妖精の信念,,神木の加護
フロル,P,29,悟りの樹人,4,14,3,He,second,forest_sea,小岩井 ことり,桑島黎音,forest,Healer,5480,4100,7280,5900,フロル,ワールドゴスペル,マナの素養,世界への同化,,森の意思
ステラ,M,68,海星の使い,4,14,3,Ma,second,forest_sea,三石 琴乃,ちろり,forest_sea,Magician,5500,3600,7300,5400,ステラ,クレセントシュート,プリティーハント,可愛い未来,,シーサルベージ
ボニート,A,40,白鳥の守護者,4,14,3,Ar,second,forest_sea,井口 裕香,ricci,forest_sea,Archer,5640,3540,7440,5340,ボニート,エレメンタルフェザー,守護者の誇り,聖樹の加護,,白鳥の矢羽
トゥバラオ,F,86,大海の暴れ鮫,4,14,3,Pi,second,forest_sea,鷲崎 健,木志田コテツ,forest_sea,Fighter,5900,5000,7700,6800,トゥバラオ,インファイト,喧嘩上等！,仁義立て,,暴れ鮫
ペローラ,K,54,無垢なる白真珠,4,14,3,Sl,second,forest_sea,伊藤 静,chiyoko,forest_sea,Knight,5170,5900,6970,7700,ペローラ,アルシナシオン,真珠貝の守り,穢れ無き笑顔,,パールシールド
,,,,,,,,,,,,,,,,,,,,,,,
ヘリデ,F,87,深層の鍛冶師,3,9,2,Bl,second,forest_sea,野中 藍,ネム,forest_sea,Smith,4350,4520,5950,6120,ヘリデ,スミスハンマー,防衛本能,,,守備反応
ボルサ,F,88,オルゴール職人,3,9,2,Bl,second,forest_sea,加藤 英美里,Tobi,forest_sea,Smith,4660,4200,6260,5800,ボルサ,ブレイクスピン,覚醒,,,直感
トルトゥガ,F,89,大海の漢,3,9,2,Pi,second,forest_sea,中村 悠一,雨,forest_sea,Warrior,4300,4600,5900,6200,トルトゥガ,スクリュー・ドライバー,舵木通し,,,アタックパートナー
ネブリナ,K,55,千河の変わり者,3,9,2,Bl,second,forest_sea,原 由実,桑島黎音,forest_sea,Guardian,4300,4730,5900,6330,ネブリナ,ディベルディード,個性の求道者,,,マナの共鳴
ミドア,M,69,海月の使い,3,9,2,Ma,second,forest_sea,花澤 香菜,鳥羽雨,forest_sea,Magician,4550,2600,5750,3800,ミドア,ウォーターストリーム,ゆらゆら,,,足枷
タンボリル,A,41,荒波の呑兵衛,3,9,2,Ar,second,forest_sea,石田 彰,高松俊行,forest_sea,Archer,4680,2600,6280,4200,タンボリル,ロングシュート,荒波の本性,,,近接攻撃補助
,,,,,,,,,,,,,,,,,,,,,,,
#名前,職,index,称号,レア度,コスト,絆コスト,武器属性,入手先・分類,入手先,声優,イラストレーター,所属,職業,最大ATK,最大HP,限界ATK,限界HP,（入力補助用・名前）,スキル名,アビリティ1・名前,アビリティ2・名前,武器アビリティ・名前,絆アビリティ名
,,,,,,,,,,,,,,,,,,,,,,,
#モアネット救援,,,,,,,,,,,,,,,,,,#モアネット救援,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
クラウディア,M,70,次期生徒会長,5,18,4,Ma,first,academy,花澤 香菜,HACCAN,academy,Magician,7020,4220,9020,6220,クラウディア,パッションスペル,秘めた才能,カリスマの家系,,マナの昂ぶり
シェアラ,F,90,大資産家,4,12,3,Sl,first,guildtown,佐藤 聡美,ちろり,guildtown,Merchant,5050,5050,6850,6850,シェアラ,ウェルスエッジ,探しもの,資産家の遺児,,おひねり
ベラ,M,71,吸血鬼,3,8,2,Ma,first,academy,内田 真礼,文太,academy,Professor,3880,2280,5480,3880,ベラ,ブルームーン,吸血魔法,,,アタックヒール
モアネット,F,91,不沈給仕,5,20,4,Pu,event,score,小岩井 ことり,mamuru,guildtown,Servant,5700,5000,8900,7600,モアネット,オーダーアッパー,働き者の二代目,無敵の看板娘,,二日酔いの秘薬
,,,,,,,,,,,,,,,,,,,,,,,
マリーダ,F,92,豪腕の女傑,5,16,4,Bl,ring,trade,井口 裕香,萩谷薫,mountain,Warrior,5650,5600,7650,7600,マリーダ,グランドクラッシュ,土妖精の肉体,豪腕,,パンプアップ
パトリシア,A,42,慈愛の商人,4,12,3,Ar,event,other,内田 真礼,ネム,guildtown,Merchant,5000,3100,6800,4900,パトリシア,ストライクアロー,慈善活動,笑顔の運び手,,商人の戦場
,,,,,,,,,,,,,,,,,,,,,,,
# 魔神アグダラ戦,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
オルオレータ,A,43,海風の氏族長,5,18,4,Ar,event,festival,内田 真礼,タイキ,forest,Matriarch,7200,4200,9200,6200,オルオレータ,ディ・アルカス,海風の氏族長,銀狼の牙,,使命の者
アグダラ,F,93,剣戟の魔神,5,22,4,Sl,event,demon,内田 真礼,タイキ,demon,Demon,5400,5550,9000,9150,アグダラ,フォルテスパーダ,剣聖の素養,刹那の一閃,,黒の剣聖
,,,,,,,,,,,,,,,,,,,,,,,
# ツル姫と夏祭り,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
アンジェリカ,F,94,浴衣の悪魔,4,12,3,Sl,event,festival,佐倉 綾音,天野英,guildtown,Assassin,5700,4600,7100,6400,アンジェリカ,デモンスマイル,疾風,浴衣美人の一撃,,人の死角
ベルナデット,F,95,恋する浴衣,4,12,3,Bl,event,festival,内田 真礼,mamuru,guildtown,Berserker,5600,4700,7000,6500,ベルナデット,ラブボンバー,全力の一撃,想いの力,,全力の思い
トウカ,F,96,浴衣の剣士,4,12,3,Sl,event,festival,佐倉 綾音,文太,volcano,Samurai,5800,4900,7200,6700,トウカ,無音の剣,オーガキラー,思い出のかんざし,,思い出のかんざし
ロレッタ,F,97,浴衣魔人,5,16,4,Bl,event,festival,小岩井 ことり,萩谷薫,guildtown,Merchant,6800,5900,8400,7900,ロレッタ,デストロイスマッシュ,商魂たくましく,破壊魔人の本性,,浴衣商法
ソーニャ,F,98,火焔の浴衣,5,17,4,Sl,event,festival,佐倉 綾音,竜徹,volcano,RuneFencer,7200,5800,8800,7800,ソーニャ,プロミネンスドライブ,炎刀使いの用心棒,人を助ける炎,,火焔の浴衣
リフレット,K,56,浴衣の向日葵,5,16,4,Bl,event,festival,内田 真礼,NPA,holytown,Paladin,6700,6400,8300,8400,リフレット,サンプレッシャー,ゴーレムキラー,浴衣の向日葵,,向日葵の飾り
ツル,F,99,第九領主,5,20,4,Sl,event,score,佐倉 綾音,Nardack,volcano,Princess,2800,4000,4800,7000,ツル,姫の一喝,座禅の成果,ツルの一声,,ツルの二声
,,,,,,,,,,,,,,,,,,,,,,,
ユカチ,M,72,幼き老婆,4,12,3,Ma,ring,random,井口 裕香,小林尽,others,Magician,4540,2740,6940,4940,ユカチ,ストップ・ザ・タイム,幼き老婆,絶対領域,,幼き誇り
カナーン,K,57,莫大な脅威,4,12,3,Sl,ring,random,花澤 香菜,小林尽,others,Guardian,,,,,カナーン,リュースブレード,莫大な脅威,最愛を守る騎士,,隙無き脅威
ソリティー,M,73,不幸少女,5,16,4,Ma,ring,trade,原 由実,sime,guildtown,Magician,5650,3500,7650,5500,ソリティー,リバットブルー,不運の力,誰かに幸せを,,不幸のお守り
,,,,,,,,,,,,,,,,,,,,,,,
範馬刃牙,F,100,地下闘技場最年少王者,5,16,4,Pu,collaboration,bakidou,山口 勝平,板垣恵介,others,Grappler,5000,4500,7600,6900,範馬刃牙,エンドルフィン,剛体術,範馬の血,,強者の呼び声
,,,,,,,,,,,,,,,,,,,,,,,
# 2部2章,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
リンリー,F,101,掟の格闘少女,5,20,4,Pu,second,dawnsea,今井 麻美,天野英,dawnsea,Grappler,7600,6750,9600,8750,リンリー,六陽大招拳,疾風怒濤,秘めた想い,,花嫁武術修行
モルガン,K,58,華麗なる女海賊,5,20,4,Sl,second,dawnsea,今井 麻美,武城にしき,dawnsea,Pirate,7000,8200,9000,10200,モルガン,ヴァーミリオンヒット,人こそ至宝,揺れない信念,,女海賊の処世術
バルトロ,A,44,夜明けの海商会船長,5,20,4,Gu,second,dawnsea,杉田 智和,伊藤未生,dawnsea,Gunner,7700,4000,9700,6000,バルトロ,ジェネラス・バースト,アップグレード,夜明けの海,,ガンコレクション
ミラ,A,45,夜明けの海商会船長,5,20,4,Gu,second,dawnsea,三石 琴乃,文太,dawnsea,Gunner,7400,3800,9400,5800,ミラ,クイックシルエット,銃への恩返し,一瞬の閃光,,閃光の弾丸
ヘリシティー,M,74,渦潮の大魔導師,5,20,4,Ma,second,dawnsea,井口 裕香,TNSK,dawnsea,Magician,7500,4500,9500,6500,ヘリシティー,ヴォルテックス,呼応する大海原,封印されし魔力,,魔力の大渦
,,,,,,,,,,,,,,,,,,,,,,,
キオラ,F,102,武神の舞姫,4,15,3,Pu,second,dawnsea,高山 みなみ,I☆LA,dawnsea,Grappler,5800,5300,7600,7100,キオラ,アサルトステップ,勇色兼備,捧神の舞,,拳舞
グローリア,F,103,生きていた女剣士,4,15,3,Pi,second,dawnsea,今井 麻美,チェロキー,dawnsea,SwordsMan,5900,5900,7700,7700,グローリア,ファンデヴ・ジェーレ,終わらない闇夜,激昂の剣撃,,激情
ティア,K,59,漂流の野生少女,4,15,3,Pi,second,dawnsea,三石 琴乃,堀 愛里／日本一ソフト,dawnsea,Knight,5700,6300,7500,8100,ティア,ヴィントシュトース,サハギンキラー,無垢なる幸運,,幸運の潮流
ヴィオレッタ,K,60,令嬢騎士,4,15,3,Pi,second,dawnsea,今井 麻美,卵の黄身,dawnsea,Knight,5600,6400,7400,8200,ヴィオレッタ,フォンダルテーレ,貴族のたしなみ,思い込み一直線,,貴族の武術
コンスタンサ,A,46,公正貿易商人,4,15,3,Gu,second,dawnsea,今井 麻美,寺澤隆徳,dawnsea,Gunner,5700,3200,7500,5000,コンスタンサ,バーストロアー,弱点狙い,無形の財産,,無償の喜び
アラクネー,M,75,呪いの魔術師,4,15,3,Ma,second,dawnsea,三石 琴乃,加藤さやか,dawnsea,Magician,5800,3500,7600,5300,アラクネー,フォールンカーズ,滲み出る神秘,万物の声,,万物の心
,,,,,,,,,,,,,,,,,,,,,,,
ニウ,F,104,好奇心少女,3,10,2,Sl,second,dawnsea,高山 みなみ,Tobi,dawnsea,Fighter,4500,4750,6100,6350,ニウ,フリーダッシュ,動体視力,,,おすすめの靴
ロッタ,F,105,海原を渡る弁当屋,3,10,2,Sl,second,dawnsea,三石 琴乃,泉彩,dawnsea,Lunch vendor,4550,4700,6150,6300,ロッタ,チアリングスマイル,大商才,,,がまぐち
ガイ,F,106,漂流親子,3,10,2,Pu,second,dawnsea,藤原 啓治,西野幸治,dawnsea,Grappler,4700,4200,6300,5800,ガイ,バスタースマッシュ,拳闘士の構え,,,武の基本
レン,F,107,武者修行少年,3,10,2,Pu,second,dawnsea,内田 真礼,百鬼丸,dawnsea,Grappler,4600,4100,6200,5700,レン,バーニングナックル,連撃,,,炎の壁
メイビア,F,108,人気の興行格闘家,3,10,2,Pu,second,dawnsea,山口 勝平,西野幸治,dawnsea,Grappler,4650,4200,6250,5800,メイビア,メイビアボトム,火事場力,,,本気
ガスパール,F,109,財宝の探索者,3,10,2,Sl,second,dawnsea,山口 勝平,motoharu,dawnsea,Fighter,4700,4700,6300,6300,ガスパール,トリックダガー,旅の秘訣,,,海図
ディラン,F,110,瀟洒な老海賊,3,10,2,Pi,second,dawnsea,柳田 淳一,塚本康城,dawnsea,Pirate,4600,4600,6200,6200,ディラン,ハードカットラス,隠し銃,,,マナの共鳴
ドミニック,F,111,潜水服海賊,3,10,2,Pu,second,dawnsea,山口 勝平,高松俊行,dawnsea,Pirate,4700,4200,6300,5800,ドミニック,スカットル,潜水服,,,海図
アーネスト,F,112,孤高の漁師,3,10,2,Pi,second,dawnsea,緑川 光,森賀宏治,dawnsea,Fisherman,4650,4600,6250,6200,アーネスト,マグナムレイジ,大物喰い,,,奮戦
アブエロ,K,61,錆びついた勇者,3,10,2,Sl,second,dawnsea,藤原 啓治,hippo,dawnsea,Knight,4700,5200,6300,6800,アブエロ,海面断絶斬,覚醒,,,決死行動
リュキシー,K,62,浜辺の守護者,3,10,2,Pi,second,dawnsea,洲崎 綾,ジャコシバ,dawnsea,Smith,4750,5100,6350,6700,リュキシー,スラッシュウェーブ,防御姿勢,,,防御の構え
シャントゥール,A,47,魅惑の妖声,3,10,2,Ar,second,dawnsea,高山 みなみ,憂,dawnsea,Minstrel,4700,2700,6300,4300,シャントゥール,魅惑の歌,後方防御支援,,,バリケード
ヴィクトリア,A,48,茶園の女亭主,3,10,2,Sh,second,dawnsea,三石 琴乃,日暮央,dawnsea,Gunner,4600,2500,6200,4100,ヴィクトリア,エイミングショット,早撃ち,,,援護射撃
マリアン,A,49,恵みの狩人,3,10,2,Sh,second,dawnsea,洲崎 綾,K子,dawnsea,Hunter,4550,2600,6150,4200,マリアン,バレージショット,弱点狙い,,,援護射撃
ラルダ,A,50,流浪の女情報屋,3,10,2,Ar,second,dawnsea,洲崎 綾,卵の黄身,dawnsea,Dancer,4650,2800,6250,4400,ラルダ,リビドーダンス,後方攻撃支援,,,応援
ダビド,A,51,不良航海士,3,10,2,Ar,second,dawnsea,杉田 智和,茉莉花,dawnsea,Archer,4700,2750,6300,4350,ダビド,ハードスナイプ,海洋戦闘,,,海図
アメリア,P,30,旅籠の若女将,3,10,2,He,second,dawnsea,三石 琴乃,K子,dawnsea,Land lady,4600,3300,6200,4900,アメリア,ハイヒール,商才,,,がまぐち
ハンジ,P,31,夜明けの海商会船医,3,10,2,Sl,second,dawnsea,山口 勝平,齋藤裕子,dawnsea,Medic,4700,3700,6300,5300,ハンジ,キュア,船上医術,,,少し広い心
メレディス,M,76,夜明けの海商会執務員,3,10,2,Ma,second,dawnsea,山口 勝平,茉莉花,dawnsea,Magician,4750,2700,6350,4300,メレディス,シェルスクリーン,大商才,,,がまぐち
ジーナ,M,77,空を舞う予報士,3,10,2,Ma,second,dawnsea,花澤 香菜,ちろり,dawnsea,Magician,4600,2750,6200,4350,ジーナ,ティンクルスター,真昼の星,,,戦闘作法・上級
,,,,,,,,,,,,,,,,,,,,,,,
ブロッサム,F,113,希望の女格闘家,2,5,1,Pu,second,other,洲崎 綾,堤泥粘土,dawnsea,Grappler,2600,2600,4000,4000,ブロッサム,ダッシュアタック,疾風,,,二人三脚
ジャン,A,52,夜明けの海商会伝令係,2,5,1,Ar,second,other,高山 みなみ,小島邦彦,dawnsea,Messenger,2550,1600,3950,3000,ジャン,ストレングスアロー,手当,,,看護
リスフィン,A,53,密航少年,2,5,1,Ar,second,other,内田 真礼,尾崎省之,dawnsea,Archer,2650,1550,4050,2950,リスフィン,ハードスナイプ,精密射撃,,,観測手
マール,P,32,航海の祈り手,2,5,1,He,second,other,今井 麻美,Ina,dawnsea,Sister,2600,1800,4000,3200,マール,ヒール,敬虔な祈り,,,助手
ハヴェル,M,78,孤島の隠者,2,5,1,Ma,second,other,杉田 智和,尾崎省之,dawnsea,Magician,,,,,ハヴェル,スパイラルランサー,窮鼠,,,瀬戸際
,,,,,,,,,,,,,,,,,,,,,,,
リネイア,F,114,刀狩盗賊,5,16,4,Sl,ring,random,沢城 みゆき,ひと和,guildtown,Thief,5900,5300,7900,7300,リネイア,天昇斬,名刀収集癖,刀との対話,,収集癖
,,,,,,,,,,,,,,,,,,,,,,,
# アトリエ「黄昏シリーズ」コラボ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
ロジー,F,115,中央の錬金術士,5,16,4,Sl,collaboration,atelier_twilight,石川 界人,左,others,Alchemist,6400,6400,8400,8400,ロジー,デュアルブラスト,スタンブロウ,最新鋭錬金術,,スタンヒット
エスカ,M,79,元気いっぱい錬金術士,5,16,4,Ma,collaboration,atelier_twilight,村川 梨衣,左,others,Alchemist,6240,3440,8240,5440,エスカ,エーテルスピア,錬金術士の知恵,私たちの約束,,錬金術士の心得
シャルロッテ,F,116,見習い錬金術士,4,12,3,Bl,collaboration,atelier_twilight,上坂 すみれ,左,others,Alchemist,5350,4850,7150,6650,シャルロッテ,バーニングフラム,気まぐれな才能,天性の楽天家,,止まらぬ歩み
アウィン,F,117,気球整備士,4,12,3,Bl,collaboration,atelier_twilight,赤羽根 健治,左,others,Smith,5040,5220,6840,7020,アウィン,∞スパイラル,整備士の心得,打撃マスター,,万全の状態
シャリステラ,M,80,船の一族の錬金術士,4,12,3,Ma,collaboration,atelier_twilight,小岩井 ことり,左,others,Alchemist,5280,3280,7080,5080,シャリステラ,イニシエイトグラム,錬金術師の才覚,ヒーリングサルブ,,オートヒーリング
アーシャ,P,33,黄昏の大地の錬金術士,4,12,3,He,collaboration,atelier_twilight,井上 麻里奈,左,others,Medic,5200,3540,7000,5340,アーシャ,失われた神々の霊薬,潜在能力開放,さがしもの,,薬草採取
ウィルベル,M,81,旅する魔法使い,5,18,4,Ma,collaboration,atelier_twilight,瀬戸 麻沙美,左,others,Magician,5500,4500,8700,6900,ウィルベル,シークレットアーツ,オールレンジソード,精霊の力＆魔法耐性,,精霊の力
,,,,,,,,,,,,,,,,,,,,,,,
# ver2.1精霊島追加,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
レアーオ,K,63,金獅子の騎士,5,18,4,Pi,first,forest,沢城 みゆき,NPA,forest,Guardian,6500,7500,8500,9500,レアーオ,リュミエルシュペア,獅子邁進,獅子奮迅,,金獅子の誇り
トレランシア,P,34,追憶の樹人,5,17,3,He,first,forest,井口 裕香,六七質,forest,Healer,6600,4800,8600,6800,トレランシア,フォレストヒール,癒しの杜,聖域の守護樹,,守護樹の祝福
キャン,F,118,密林の狼少女,4,13,3,Pu,first,forest,斎藤 千和,ネム,forest,Fighter,5500,4600,7300,6400,キャン,マッハルーヴ,ワイルドグレース,森妖精の決意,,大自然の息吹
コネリ,A,54,白兎の射手,4,13,3,Ar,first,forest,井口 裕香,るろお,forest,Archer,5700,3000,7500,4800,コネリ,ホワイトインパクト,必倒の弓技,白兎の守護,,白兎の守護
,,,,,,,,,,,,,,,,,,,,,,,
パメラス,K,64,聖騎士団長“聖刻の御者”,5,16,4,Sl,ring,trade,内田 彩,卵の黄身,holytown,Paladin,5670,6100,7670,8100,パメラス,ロイヤリティスラッシュ,私の騎士道,勇気の心,,信念の楯
メガドライブ,M,82,ゴールドナンバー,4,12,3,Ma,collaboration,other,井澤 詩織,KEI,others,WiseWoman,4500,3700,,,メガドライブ,ショックトライアングル,剣術の心得,青き神の加護,,メガアダプタ
,,,,,,,,,,,,,,,,,,,,,,,
# 絶対絶望少女コラボ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
ジェノサイダー翔,F,119,超高校級の殺人鬼,5,17,4,Pi,collaboration,monokuma,沢城 みゆき,小松崎類,others,Serial Killer,6740,5900,8740,7900,ジェノサイダー翔,チョッキンフィーバー,切り替わる人格,超高校級の殺人鬼,,超高校級の殺人鬼
苗木こまる,A,55,普通の女子高生,5,17,4,Gu,collaboration,monokuma,内田 彩,小松崎類,others,Student,6650,3670,8650,5670,苗木こまる,送電麻痺（シビレロ）,デコダマ,絶望を超えて,,”普通”の支援
苗木誠,F,120,超高校級の希望,4,13,3,Bl,collaboration,monokuma,緒方 恵美,小松崎類,others,Agent,5420,5580,7220,7380,苗木誠,ロンパ,超高校級の幸運,”希望”の少年,,超高校級の幸運
召使い,F,121,希望の戦士の従者,4,13,3,Pi,collaboration,monokuma,緒方 恵美,小松崎類,others,Servant,5500,5500,7300,7300,召使い,希望の為の犠牲,本物の幸運,希望の代償,,幸運な召使い
十神白夜,A,56,超高校級の御曹司,4,13,3,Gu,collaboration,monokuma,石田 彰,小松崎類,others,Agent,5280,5600,7080,7400,十神白夜,羨望の発言力,冷静沈着,超高校級の御曹司,,超高校級の御曹司
腐川冬子,P,35,超高校級の文学少女,4,13,3,He,collaboration,monokuma,沢城 みゆき,小松崎類,others,Agent,5440,3940,7240,5740,腐川冬子,妄想ドリーム,白夜様への愛,超高校級の文学少女,,超高校級の文学少女
モノクマ,F,122,学園長,5,19,4,Sl,collaboration,monokuma,大山 のぶ代,小松崎類,others,Demon,4600,4600,8600,8600,モノクマ,モノクロノブレード ,投票タイム,絶望の象徴,,絶望の運び手
,,,,,,,,,,,,,,,,,,,,,,,
セガサターン,M,83,双杖の魔女,4,12,3,Ma,collaboration,other,高橋 未奈美,KEI,others,Magician,4600,2600,,,セガサターン,ツインスティック,強気,ツッコミ担当,,セガサターンシロ
ビジュアルメモリ,P,36,おしゃまな相棒,4,12,3,He,collaboration,other,上坂 すみれ,KEI,others,Attendant,4480,3220,,,ビジュアルメモリ,リキッドクリスタル,敬虔な祈り,ポイント稼ぎ,,外部メモリ
ゲームギア,M,84,お疲れ魔女,4,12,2,Ma,collaboration,other,田中 美海,KEI,others,Magician,,,,,ゲームギア,レインボウビジョン,万全の態勢,高燃費,,ＰＪマーキュリー
,,,,,,,,,,,,,,,,,,,,,,,
シャーリー,M,85,枯れ枝の魔法使い,4,13,3,Ma,first,academy,三上 枝織,Tobi,academy,Professor,5600,3480,7400,5280,シャーリー,ブラステッド,マナの巡り,ブルーミングマジック,,生命魔術の手助け
セラカ,K,65,深海の使者,5,19,4,Sl,second,forest_sea,藤村 歩,シモシ,forest_sea,Knight,6700,7800,8700,9800,セラカ,エインシェントクロス,永劫回帰,古人の開進,,不朽の善
バリキ,F,123,熱血用心棒,5,16,4,Sl,ring,trade,柳田 淳一,木志田コテツ,volcano,Samurai,5280,5000,7280,7000,バリキ,剛爆熱波紅蓮斬,正しい力,バリキの根性論,,不屈の闘気
キャス,M,86,英雄となる男,4,12,3,Ma,collaboration,other,浪川 大輔,岡崎純平,others,Magician,4500,4500,,,キャス,クリムゾンロッド,英雄への第一歩,想いを背負って,,溢れ出る大志
エフィメラ,M,87,魔法兵団隊長,5,16,4,Sl,ring,random,井口 裕香,天野英,academy,RuneFencer,5850,4000,7850,6000,エフィメラ,エアリアル,大鎌使いの戦闘技術,高効率破壊戦闘,,破壊戦闘技術
,,,,,,,,,,,,,,,,,,,,,,,
# 砂漠の秘宝,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
カリファ,K,66,女王の懐刀,5,18,4,Sl,event,festival,石田 彰,萩谷薫,oasis,Guardian,6450,8100,8450,10100,カリファ,アブルアクラ,深川静流,女王を支えし影,,湖都の要塞
ムニール ,F,124,精霊に憑かれしもの,4,13,3,Pu,first,oasis,井口 裕香,萩谷薫,oasis,Fighter,5440,4800,7240,6600,ムニール ,シャトバール,ランプの精霊,精との和解,,ランプの恩恵
タリシュガ,F,125,審眼の大盗賊,4,13,3,Sl,first,oasis,花澤 香菜,またよし,oasis,Thief,5320,5320,7120,7120,タリシュガ,ジハーブ,見極める真価,罪を背負いて,,見抜く急所
シェスメト,M,88,黄泉還りし王女,5,18,5,Ma,event,score,井口 裕香,西村キヌ,oasis,Princess,5600,3600,9000,6000,シェスメト,インバラトゥーラ,太古の魔法,目覚めし最古の王女,,溢れ出る魔力
,,,,,,,,,,,,,,,,,,,,,,,
シュラッカ,A,57,期待の新人,5,16,4,Ar,ring,trade,藤村 歩,秋津たいら,guildtown,Hunter,5700,3500,7700,5500,シュラッカ,めておしゅーと,大物退治のエキスパート,れんしゅーせいか,,だいたんふてき
,,,,,,,,,,,,,,,,,,,,,,,
# 閃の軌跡IIコラボ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
リィン,F,126,八葉一刀流中伝,5,17,4,Sl,collaboration,falcom_sen2,内山 昂輝,日本ファルコム,others,Samurai,6700,6270,8700,8270,リィン,蒼焔の太刀,Mクオーツフォース,激励,,フォース
アリサ,A,58,RFグループ令嬢,5,17,4,Ar,collaboration,falcom_sen2,堀江 由衣,日本ファルコム,others,Archer,6600,4000,8600,6000,アリサ,ジャッジメントアロー,Mクオーツエンゼル,ヘヴンズギフト,,セントアライブ
ラウラ,K,67,武門の息女,5,17,4,Sl,collaboration,falcom_sen2,伊瀬 茉莉也,日本ファルコム,others,Fencer,6500,7400,8500,9400,ラウラ,真・洸刃乱舞,Mクオーツブレイブ,鉄砕刃＆洸翼陣,,真・鉄砕刃
フィー,F,127,西風の妖精,4,13,3,Sl,collaboration,falcom_sen2,金元 寿子,日本ファルコム,others,Ranger,5600,4900,7400,6700,フィー,シルフィードダンス,Mクオーツレイヴン,エリアルハイド,,レイヴン
トワ,A,59,生徒会長,4,13,3,Gu,collaboration,falcom_sen2,野中 藍,日本ファルコム,others,School Captain,5300,3100,7100,4900,トワ,レインボーショット,Mクオーツセプター,流星撃,,セプター
クレア,A,60,氷の乙女,4,13,3,Gu,collaboration,falcom_sen2,松来 未祐,日本ファルコム,others,Military Police,5400,3000,7200,4800,クレア,フリジットレイン,Mクオーツメビウス,モータルミラージュ,,メビウス
エリオット,P,37,稀代の楽師,4,13,3,He,collaboration,falcom_sen2,白石 涼子,日本ファルコム,others,Musician,5500,4000,7300,5800,エリオット,レゾナンスビート,Mクオーツカノン,エコーズビート,,カノン
,,,,,,,,,,,,,,,,,,,,,,,
ドリームキャスト,K,68,純白の戦乙女,4,12,3,Sl,collaboration,other,Ｍ・Ａ・Ｏ,KEI,others,Valkyrja,4800,5200,,,ドリームキャスト,ドリームブレイド,守護者,節約家,,拡張スロット
,,,,,,,,,,,,,,,,,,,,,,,
# 2部3章,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
ユギギ,F,128,雄叫ぶ者,5,20,4,Pu,second,beasts,花澤 香菜,天野英,beasts,Grappler,7650,6600,9650,8600,ユギギ,クロキハカイノツメ　,黒の衝動,漆黒の刃爪,,クロノインシ
テリリア,F,129,喝采を求める者,5,20,4,Pu,second,beasts,内田 彩,煎茶,beasts,Grappler,7350,6700,9350,8700,テリリア,コマンドフェッチ,褒めて褒めて！,もっと褒めて！,,いつも褒めて！
シェギギム,F,130,忠義一徹,5,20,4,Bl,second,beasts,花澤 香菜,竜徹,beasts,Fighter,7100,7500,9100,9500,シェギギム,ローリングフェイス,命令を主殿！,忠義の連携,,忠犬の援護
グララオ,F,131,本能の闘士,5,20,4,Pu,second,beasts,杉田 智和,萩谷薫,beasts,Grappler,7750,6900,9750,8900,グララオ,タイガーアッパー,虎牙の共闘,虎空乾坤の型,,虎武激励
,,,,,,,,,,,,,,,,,,,,,,,
チロルル,F,132,献身的な忠犬,4,15,3,Pu,second,beasts,今井 麻美,Nardack,beasts,Servant,5840,5210,7640,7010,チロルル,オーダーメイド,ケ者の家政婦,笑顔の奉仕,,世話焼き
