#名前,職,index,スキル名,スキル・マナコスト,条件,スキル・カテゴリ,スキル・サブカテゴリ,スキル・追加効果1,スキル・追加効果2,スキル・追加効果3,スキル・追加効果4,スキル・追加効果5,備考
ケヴィン,F,203,獣人化,2,,area,field,,,,,,フィールドが夜間なら消費マナ1
,,,,forward,,metamorphose,self,atkup,,,,,
,,,白虎衝撃波,2,変身中,attack,range_line2,,,,,,
,,,,forward,,attack,range_line,,,,,,
ホークアイ,F,204,薔薇の舞,1,,attack,one_rear,,,,,,一番遠い敵
,,,,forward,,attack,one_combo,,,,,,一番遠い敵の目の前に飛ぶ
シャルロット,P,58,はりせんちょっぷ,1,敵陣にいる時,attack,one_combo,,,,,,
,,,ヒールライト,1,自陣にいる時,heal,all_instant,,,,,,
,,,,,,,,,,,,,
ランディ,F,205,旋風斬り,1,,attack,range_self,,,,,,
プリム,F,206,プリムアッパー,2,,attack,one_short,,,,,,
ポポイ,M,147,マナの聖域,1,,buff,all,atkup,,,,,
,,,,,,,,,,,,,
デュラン,F,207,大地噴出剣,2,,attack,range_self,,,,,,
リース,K,113,百花繚乱,1,,attack,one_combo,,,,,,
アンジェラ,M,148,ホットショット,2,,attack,bullets,,,,,,
,,,エインシャント,2,発動時マナ8つ以上,attack,range_all,,,,,,
,,,,,,,,,,,,,
シジマ,P,59,弐段槍術・虎牙竜翔閃,2,,attack,range_self,,,,,,
,,,,forward,,attack,range_jump,add_tumble,,,,,
ダスティ,F,208,ウェポンフルコース,1,,attack,one_combo,,,,,,
,,,,,,,,,,,,,
# 2部7章,,,,,,,,,,,,,
,,,,,,,,,,,,,
セラフィー,F,209,ブリリアントフェザー,1,,attack,range_jump,,,,,,
,,,セラフィックオーバードライブ,2,超必殺技ゲージMAX,attack,range_jump,super_skill,add_slow,add_push,,,
クライン,F,210,ランページマッスル,2,,metamorphose,self,supermode,wide_attack,,,,攻撃間隔減少
ツァーリ14世,K,114,我が栄光の覇道,1,,area,field,,,,,,
,,,栄光のクロニクル,2,超必殺技ゲージMAX,attack,range_random,super_skill,,,,,
,,,,forward,,area,field,,,,,,
レノ,A,106,惨禍乃賽子,1,,attack,random,,,,,,効果が6種類
イシュチェル,A,107,ランスショット,1,,attack,range_line,,,,,,
,,,ビトイーン・アイズ,1,超必殺技ゲージMAX,attack,range_line,super_skill,add_push,,,,
オデッセイア,M,149,クリアオーシャン,1,最後列以外にいる時,attack,range_line,ice,,,,,
,,,アクアフォース,1,最後列にいる時,barrier,all,atkup,guard_fire,guard_ice,,,
メッテイヤ,M,150,竜王の宴,3,,metamorphose,self,atkspeedup,delayoff,pierce,,,
,,,,forward,変身中一定間隔ごとに,attack,one_random,,,,,,
,,,,,,,,,,,,,
ミョルン,F,211,ムーンサルト,2,,attack,one_short,,,,,,
ミンミ,K,115,ブレイブランス,1,,attack,range_shortline,,,,,,
,,,ランススティンガー,1,超必殺技ゲージMAX,attack,range_shortline,super_skill,add_push,,,,
シリル,K,116,ストライクソード,2,,attack,one_short,,,,,,
,,,アルティソード,2,超必殺技ゲージMAX,attack,one_short,super_skill,,,,,
シェキナ,A,108,爆裂弓,2,,attack,one_line,,,,,,
,,,超弩級爆裂弓,2,超必殺技ゲージMAX,attack,one_line,super_skill,add_push,,,,
,,,,forward,,attack,range_blast,,,,,,
レンレ,P,60,キュアベール,2,,heal,all_instant,,,,,,
,,,,forward,,barrier,knight,,,,,,
フィシ,P,61,ブレスヒール,1,,heal,all_instant,,,,,,
,,,,,,,,,,,,,
ギュネス,P,62,サンライトキュア,1,,heal,all_cycle,,,,,,
,,,,,,,,,,,,,
# クリスマス2015/監獄チェインストーリー,,,,,,,,,,,,,
,,,,,,,,,,,,,
キャロル,M,151,ホーリーギフト,2,,attack,range_drop,ice,,,,,
リーア,P,63,イノセントヒール,1,,heal,all_reaction,,,,,,
,,,,,,,,,,,,,
# 魔神ズフラス戦,,,,,,,,,,,,,
,,,,,,,,,,,,,
エイラ,K,117,スカーレット・ガイラルディア,2,,attack,one_combination,add_slow,,,,,地形が森林だと威力上昇
ズフラス,A,109,,,,,,,,,,,
